Datetime,Brine Flowrate (T/h),Fluid Temperature (°C),NCG+Steam Flowrate (T/h),Ambient Temperature (°C),Reinjection Temperature (°C),Gross Power (MW),Predicted Gross Power (MW),Has Red Warning,Has Yellow Warning,Red Warning Features,Yellow Warning Features
2025-03-03,1626.58239746093,175.35,65.7608423233032,6.98448610305786,69.2816848754882,47.670793533325195,41.809902,False,False,[],[]
2025-03-03,1622.61022949218,175.33,65.4399089813232,6.8052659034729,69.1432723999023,47.86454200744629,41.527084,False,False,[],[]
2025-03-03,1624.693359375,175.46,65.7327547073364,7.04445505142211,69.1611328125,47.76981735229492,41.445457,False,False,[],[]
2025-03-03,1622.59008789062,175.14,66.1453886032104,7.01193189620971,69.1218566894531,47.795597076416016,41.925316,False,False,[],[]
2025-03-03,1620.81555175781,175.3,65.6132011413574,7.72045469284057,69.1717987060546,47.5617618560791,41.76162,False,False,[],[]
2025-03-03,1619.76342773437,175.26,65.5269441604614,7.98635244369506,69.3965988159179,47.46493721008301,41.687492,False,False,[],[]
2025-03-03,1622.06823730468,175.2,65.8560819625854,8.21195793151855,69.5050735473632,47.3643856048584,41.872997,False,False,[],[]
2025-03-03,1619.26599121093,175.09,66.0468635559082,8.43629455566406,69.5835494995117,47.35998725891113,41.707993,False,False,[],[]
2025-03-03,1617.15783691406,175.23,65.521312713623,8.41745662689209,69.5431671142578,47.271894454956055,41.40881,False,False,[],[]
2025-03-03,1608.75073242187,175.36,65.7736349105835,8.19410419464111,69.4347534179687,47.24242401123047,40.018635,False,False,[],[]
2025-03-03,1616.16101074218,175.63,65.1795921325683,7.81217956542968,69.3878860473632,47.39571952819824,41.060024,False,False,[],[]
2025-03-03,1616.52673339843,175.64,65.3408575057983,7.43243741989135,69.3218841552734,47.639991760253906,41.07,False,False,[],[]
2025-03-04,1619.2373046875,175.56,65.5026693344116,6.15981197357177,68.9567413330078,47.926429748535156,41.304688,False,False,[],[]
2025-03-04,1617.29821777343,175.65,65.935263633728,5.31633472442626,68.31005859375,48.39334487915039,41.226814,False,False,[],[]
2025-03-04,1615.47509765625,175.59,65.7823982238769,4.46818494796752,68.0612411499023,48.591365814208984,40.83446,False,False,[],[]
2025-03-04,1616.52551269531,175.65,66.1097621917724,4.15010499954223,67.8279800415039,48.69574546813965,41.189888,False,False,[],[]
2025-03-04,1622.25451660156,175.61,66.1608362197876,3.69324278831481,67.8078384399414,48.879098892211914,41.68077,False,False,[],[]
2025-03-04,1619.45764160156,175.32,66.2589673995971,3.2664566040039,67.6542129516601,48.91267013549805,41.498352,False,False,[],[]
2025-03-04,1616.08361816406,175.18,66.3699407577514,3.18743014335632,67.6159896850586,48.892173767089844,41.627766,False,False,[],[]
2025-03-04,1616.60766601562,175.11,66.6760911941528,2.98671007156372,67.5323028564453,48.88776397705078,41.94455,False,False,[],[]
2025-03-04,1621.1923828125,175.18,66.2691230773925,2.82182908058166,67.5255661010742,48.978477478027344,42.40316,False,False,[],[]
2025-03-04,1617.13232421875,175.2,66.2420053482055,2.59022569656372,67.3879013061523,48.9581241607666,41.94455,False,False,[],[]
2025-03-04,1621.36279296875,175.3,66.5620946884155,3.29438543319702,67.5544128417968,48.87137413024902,41.929287,False,False,[],[]
